"业务场景
service,SVC",,,"关键质量指标
Key Quality Index,KQI",,,
编号,英文缩写,中文释义,编号,英文缩写,中文释义,正负向
1,CS Voice,电路语音,1,PERCEIVED_CALL_SUCCESS_RATE,感知接通率,正
,,,2,E2E_CALL_CONNECTION_DELAY,端到端接续时长,负
,,,3,PERCEIVED_CALL_DROP_RATE,感知掉话率,负
,,,4,MT_CALL_CONNECTION_RATE,终结呼叫接通率,正
2,VoLTE,长期演进语音承载,1,MO_CONN_RATE,始呼接通率,正
,,,2,MO_CONN_DELAY,始呼接通时延,负
,,,3,CALL_DROP_RATE,掉话率,负
,,,4,DL_VOICE_MOS_POOR_RATE,下行语音MOS质差比例,负
,,,5,SRVCC_PS2CS_SUCC_RATE,SRVCC切换成功率,正
,,,6,DL_VOICE_ONEWAY_RATE,下行语音单通占比,负
3,Web,网页浏览,1,PAGE_RESPONSE_DELAY,页面响应时长,负
,,,2,PAGE_DOWNLOAD_THROUGHPUT,页面下载速率,正
,,,3,TCP_CONNECTION_E2E_DELAY,TCP建立端到端时延,负
,,,4,SERVER_SIDE_ROUND_TRIP_TIME,服务器侧RTT,负
,,,5,CLIENT_SIDE_ROUND_TRIP_TIME,终端侧RTT,负
,,,6,UL_TCP_RETRANSMISSION_RATE,上行TCP重传率,负
,,,7,DL_TCP_RETRANSMISSION_RATE,下行TCP重传率,负
,,,8,HTTPS_HANDSHAKE_DELAY,HTTPS握手时延,负
4,Streaming,流媒体,1,VIDEO_STREAMING_XKB_START_DELAY,视频流媒体xKB启动时延,负
,,,2,DW_THROUGHPUT,有效下载速率,正
,,,3,TCP_CONNECTION_E2E_DELAY,TCP建立端到端时延,负
,,,4,SERVER_SIDE_ROUND_TRIP_TIME,服务器侧RTT,负
,,,5,CLIENT_SIDE_ROUND_TRIP_TIME,终端侧RTT,负
,,,6,UL_TCP_RETRANSMISSION_RATE,上行TCP重传率,负
,,,7,DL_TCP_RETRANSMISSION_RATE,下行TCP重传率,负
,,,8,HTTPS_HANDSHAKE_DELAY,HTTPS握手时延,负
,,,9,QUIC_UL_PACKET_LOSS_RATE,QUIC接口上行丢包率,负
,,,10,QUIC_DL_PACKET_LOSS_RATE,QUIC接口下行丢包率,负
,,,11,QUIC_UL_OUT_OF_ORDER_RATE,QUIC接口上行乱序率,负
,,,12,QUIC_DL_OUT_OF_ORDER_RATE,QUIC接口下行乱序率,负
,,,13,QUIC_UL_TRANSMISSION_DELAY,QUIC接口上行数传时延,负
,,,14,QUIC_DL_TRANSMISSION_DELAY,QUIC接口下行数传时延,负
,,,15,BIT_RATE_RATIO,速率码率比,正
5,IM,即时通信,1,INTERACTING_DELAY,交互时延,负
,,,2,DOWNLINK_THROUGHPUT,下行速率,正
,,,3,TCP_CONNECTION_E2E_DELAY,TCP建立端到端时延,负
,,,4,SERVER_SIDE_ROUND_TRIP_TIME,服务器侧RTT,负
,,,5,CLIENT_SIDE_ROUND_TRIP_TIME,终端侧RTT,负
,,,6,UL_TCP_RETRANSMISSION_RATE,上行TCP重传率,负
,,,7,DL_TCP_RETRANSMISSION_RATE,下行TCP重传率,负
,,,8,HTTPS_HANDSHAKE_DELAY,HTTPS握手时延,负
6,VoIP Video,基于IP的语音传输（视频通话）,1,UPLINK_THROUGHPUT,上行速率,正
,,,2,DOWNLINK_THROUGHPUT,下行速率,正
,,,3,UDP_UPLINK_JITTER,UDP上行包抖动,负
,,,4,UDP_DOWNLINK_JITTER,UDP下行包抖动,负
,,,5,HTTPS_HANDSHAKE_DELAY,HTTPS握手时延,负
,,,6,UDP_DOWNLINK_PACKET_INTERVALS,UDP下行包间隔,负
,,,7,UDP_UPLINK_PACKET_INTERVALS,UDP上行包间隔,负
7,VoIP Voice,基于IP的语音传输（语音通话）,1,UPLINK_THROUGHPUT,上行速率,正
,,,2,DOWNLINK_THROUGHPUT,下行速率,正
,,,3,UDP_UPLINK_JITTER,UDP上行包抖动,负
,,,4,UDP_DOWNLINK_JITTER,UDP下行包抖动,负
,,,5,HTTPS_HANDSHAKE_DELAY,HTTPS握手时延,负
,,,6,UDP_DOWNLINK_PACKET_INTERVALS,UDP下行包间隔,负
,,,7,UDP_UPLINK_PACKET_INTERVALS,UDP上行包间隔,负
8,File Access,文件访问,1,SHARING_RESPONSE_DELAY,共享响应时延,负
,,,2,SHARING_UL_THROUGHPUT,共享上传速率,正
,,,3,SHARING_DL_THROUGHPUT,共享下载速率,正
,,,4,MULTIMEDIA_RESPONSE_DELAY,多媒体响应时延,负
,,,5,MULTIMEDIA_UL_THROUGHPUT,多媒体上行速率,正
,,,6,MULTIMEDIA_DL_THROUGHPUT,多媒体下行速率,正
,,,7,TCP_CONNECTION_E2E_DELAY,TCP建立端到端时延,负
,,,8,SERVER_SIDE_ROUND_TRIP_TIME,服务器侧RTT,负
,,,9,CLIENT_SIDE_ROUND_TRIP_TIME,终端侧RTT,负
,,,10,UL_TCP_RETRANSMISSION_RATE,上行TCP重传率,负
,,,11,DL_TCP_RETRANSMISSION_RATE,下行TCP重传率,负
,,,12,SYN_SYN_ACK_DELAY,SYN-SYN ACK时延,负
,,,13,SYN_ACK_ACK_DELAY,SYN ACK-ACK时延,负
,,,14,DELAY_BETWEEN_FIRST_TCP_AND_FIRST_GET,首TCP三步握手至首GET的时延,负
,,,15,DELAY_BET_SERVER_ACK_AND_FIRST_DATA,首GET的ACK响应包至首数据包时延,负
,,,16,HTTPS_HANDSHAKE_DELAY,HTTPS握手时延,负
